order_id,code,description,line,stt_noline
124,5.03.9.1.1.67,Miscellaneous Expenses/Transport,2582,
125,5.03.9.1.1.69,Miscellaneous Expenses/Staff Uniform,2590,
126,5.03.9.1.1.70,Miscellaneous Expenses/ Assets,2605,
127,5.03.9.1.1.84,Miscellaneous Exp/Loan Ext,2685,
128,,Public Serv. Paymnt Distrib Cos,2682,
129,5.03.9.1.1.78,Miscellaneous Expenses/Others,2680,
130,5.04,EXTRAORDINARY EXPENSE,,20
131,5.04.1,Losses With disposal of Fixed Assets,2710,
132,5.04.2,Adjustment for Prior Periods,2720,
133,5.04.3,Other Extraordinary Expenses,2730,
134,,TOTAL OPERATING EXPENSES,2800,21
135,,TOTAL OPERATING INCOME,1815,22
136,,NET INCOME (LOSS) BEFORE TAX,3000,23
137,5.09,PROVISION FOR INCOME TAX,2770,
138,,NET INCOME (LOSS) AFTER TAX,2800,24
