account_code,account_name,parent_group,is_summary
1020,InterestDueFromBanks,INTEREST_INCOME,false
1030,InterestOvernightPlacement,INTEREST_INCOME,false
1040,InterestOnSecurities,INTEREST_INCOME,false
1080,MarketVendorDailyLoans,INTEREST_LOAN,false
1090,SeasonalCropLoans,INTEREST_LOAN,false
1100,OtherBusinessLoan,INTEREST_LOAN,false
1110,MicrofinanceGroupLoans,INTEREST_LOAN,false
1120,PayrollLoans,INTEREST_LOAN,false
1130,EmployeeAndStaffLoans,INTEREST_LOAN,false
1132,InternalStaffLoans,INTEREST_LOAN,false
1135,AsuwainLoan,INTEREST_LOAN,false
1137,BukaeLoan,INTEREST_LOAN,false
1138,PensionLoan,INTEREST_LOAN,false
1140,ProjectLoan,INTEREST_LOAN,false
1150,InvestmentLoan,INTEREST_LOAN,false
1160,TransportLoan,INTEREST_LOAN,false
1170,PayrollLoanLO,INTEREST_LOAN,false
1180,AsuwainLoanLO,INTEREST_LOAN,false
1190,BukaeLoanLO,INTEREST_LOAN,false
1200,PensionLoanLO,INTEREST_LOAN,false
1205,FIARLoan,INTEREST_LOAN,false
1207,AgricultorLoan,INTEREST_LOAN,false
1208,RBLLoanOrigination,INTEREST_LOAN,false
1250,LoanFeeIncomeMicrofin,LOAN_FEE_INCOME,false
1260,LoanFeeIncomeMarketVendor,LOAN_FEE_INCOME,false
1270,LoanFeeIncomeSeasonalCrop,LOAN_FEE_INCOME,false
1280,LoanFeeIncomeBusinessLoan,LOAN_FEE_INCOME,false
1290,LoanFeeIncomePayroll,LOAN_FEE_INCOME,false
1300,LoanFeeIncomeEmployeeStaff,LOAN_FEE_INCOME,false
1302,LoanFeeIncomeInternalStaff,LOAN_FEE_INCOME,false
1305,LoanFeeIncomeAsuwain,LOAN_FEE_INCOME,false
1307,LoanFeeIncomeBukae,LOAN_FEE_INCOME,false
1308,LoanFeeIncomePension,LOAN_FEE_INCOME,false
1310,LoanFeeIncomeProject,LOAN_FEE_INCOME,false
1312,LoanFeeIncMorten,LOAN_FEE_INCOME,false
1320,LoanFeeIncomeInvestment,LOAN_FEE_INCOME,false
1330,LoanFeeIncomeTransport,LOAN_FEE_INCOME,false
1340,LoanFeeIncomePayrollLO,LOAN_FEE_INCOME,false
1350,LoanFeeIncomeAsuwainLO,LOAN_FEE_INCOME,false
1360,LoanFeeIncomeBukaeLO,LOAN_FEE_INCOME,false
1370,LoanFeeIncPensionLO,LOAN_FEE_INCOME,false
1372,LoanFeeIncomeFIAR,LOAN_FEE_INCOME,false
1374,LoanFeeIncomeAgricultor,LOAN_FEE_INCOME,false
1375,LoanFeeIncomeRBL,LOAN_FEE_INCOME,false
1442,ATMFee,NON_INTEREST_INCOME,false
14455,ForeignTransferFees,NON_INTEREST_INCOME,false
1446,MoneyGramFees,NON_INTEREST_INCOME,false
1470,ForeignExchangeGains,NON_INTEREST_INCOME,false
1700,CommissionIncome,NON_INTEREST_INCOME,false
1705,OtherNonInterestIncome,NON_INTEREST_INCOME,false
1706,CollectionLoanWriteOff,NON_INTEREST_INCOME,false
1715,FeeFromGovernment,NON_INTEREST_INCOME,false
1740,BankGuaranteeSIFee,NON_INTEREST_INCOME,false
1748,InitialUrgentOTSFee,NON_INTEREST_INCOME,false
1410,ForeignTransferFees_Supplemental,NON_INTEREST_INCOME,false
1780,GainsDisposalFixedAsset,EXTRAORDINARY_INCOME,false
1770,AdjustmentPriorPeriods,EXTRAORDINARY_INCOME,false
1800,MiscellaneousIncomeLoss,EXTRAORDINARY_INCOME,false
